Sr_No.,Lawyer_name,Practice_area,Firm_name,Firm_size,Target_audience,Designation,Years_of_Experience,Total_cases,Successful_cases,Affiliation,Client_reviews,Nominal_fees_per_hearing,Bar_Council_ID
1,Sameer Saxena,Sports Lawyer,AnantLaw,25,Agencies,Senior Associate,4,49,36,District Court,Failed to provide clear explanations and advice. | Unacceptable delays and lack of proper follow-up. | Lacked communication and updates during my case.,100666,NB/AP/2020/99756
2,Rohit Chaudhary,Education Lawyer,Krishna & Saurastri Associates LLP,24,Educational Institutions,Legal Advisor,9,200,177,District Court,Made me feel undervalued and ignored my inputs. | Did not provide adequate representation and support. | Poorly handled legal negotiations and settlements.,231496,NB/TR/2015/86968
3,Divya Chopra,Immigration Lawyer,AQUILAW,213,Families,Senior Advocate,11,253,200,Supreme Court of India,Professional and reliable. Made the legal process smooth and manageable. | Top-notch service. Went above and beyond to ensure a positive result. | Great attention to detail and thorough in handling my case.,626137,NB/JK/2013/97889
4,Harish Reddy,Labor Lawyer,Krishnamurthy and Co,418,Labor Unions,Independent Legal Consultant,10,152,144,Supreme Court of India,"Excellent communication and outstanding client care. | Professional, reliable, and easy to work with. Satisfied client. | Outstanding client service and thorough legal representation.",441380,NB/G/2014/37768
5,Anjali Saxena,Business Lawyer,Gravitas Legal,183,Entrepreneurs,Solicitor,8,198,166,District Court,Outstanding client service and thorough legal representation. | Very professional and handled my case with great expertise. | Knowledgeable and detail-oriented. Provided great support.,243057,NB/CG/2016/32836
6,Divya Thakur,Intellectual Property Lawyer,Saga Legal,355,Artists,Advocate,3,10,7,High Court,Did not provide adequate representation and support. | Did not address all legal issues in a timely manner. | Ineffective communication and lack of detailed information.,106838,NB/MN/2021/21328
7,Suresh Sethi,Business Lawyer,De Penning & De Penning,46,Entrepreneurs,Solicitor,9,191,160,High Court,Knowledgeable and detail-oriented. Provided great support. | Supportive and empathetic. Always had my best interests in mind. | Highly recommended for their expertise and professionalism.,391991,NB/OR/2015/74879
8,Abhishek Dubey,Environmental Lawyer,Sagus Legal,101,Government Agencies,Senior Advocate,12,301,283,High Court,Provided substandard legal service and advice. | Did not provide adequate representation and support. | Inconsistent with follow-ups and overall handling.,894352,NB/BR/2012/92498
9,Dinesh Patel,Labor Lawyer,"Chiramel & Co, Solicitors and Advocates",185,Employers,Counsel,8,199,148,Supreme Court of India,Inadequate preparation and subpar legal advice. | Provided incorrect information and poor advice. | Provided substandard legal service and advice.,223067,NB/CG/2016/36743
10,Ritika Rajput,Bankruptcy Lawyer,Mayer Brown,334,Creditors,Legal Aid Lawyer,1,13,12,Supreme Court of India,Poor representation and lack of thorough case handling. | Failure to meet deadlines and follow through on promises. | Unresponsive and did not address all my concerns.,35237,NB/DL/2023/97512
